"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 08:51:37 GMT 2025","Mon May 12 08:51:37 GMT 2025","210","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode options returns status 204",""
"passed","Mon May 12 08:51:32 GMT 2025","Mon May 12 08:51:32 GMT 2025","154","","Test Negative Character Endpoint","","Test Negative Character Endpoint","","Character should return error for an invalid param",""
"passed","Mon May 12 08:51:37 GMT 2025","Mon May 12 08:51:37 GMT 2025","251","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode should return response with valid schema",""
"passed","Mon May 12 08:51:36 GMT 2025","Mon May 12 08:51:36 GMT 2025","406","","Test Negative Episode Endpoint","","Test Negative Episode Endpoint","","Episode endpoint returns not found error for episode out of range",""
"passed","Mon May 12 08:51:35 GMT 2025","Mon May 12 08:51:35 GMT 2025","220","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character options returns status 204",""
"passed","Mon May 12 08:51:39 GMT 2025","Mon May 12 08:51:39 GMT 2025","197","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode endpoint should return list when some params empty",""
"passed","Mon May 12 08:51:35 GMT 2025","Mon May 12 08:51:35 GMT 2025","226","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character should return specific list for multiple param",""
"passed","Mon May 12 08:51:37 GMT 2025","Mon May 12 08:51:37 GMT 2025","207","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode should return specific list for multiple param",""
"passed","Mon May 12 08:51:35 GMT 2025","Mon May 12 08:51:35 GMT 2025","381","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character endpoint should return list when some params empty",""
"passed","Mon May 12 08:51:39 GMT 2025","Mon May 12 08:51:39 GMT 2025","64","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode should return list",""
"passed","Mon May 12 08:51:35 GMT 2025","Mon May 12 08:51:36 GMT 2025","1590","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character list can be filtered",""
"passed","Mon May 12 08:51:37 GMT 2025","Mon May 12 08:51:37 GMT 2025","196","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode endpoint should return list when some params empty",""
"passed","Mon May 12 08:51:37 GMT 2025","Mon May 12 08:51:37 GMT 2025","441","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode list can be filtered",""
"failed","Mon May 12 08:51:38 GMT 2025","Mon May 12 08:51:38 GMT 2025","432","","Test Negative Location Endpoint","","Test Negative Location Endpoint","","Location endpoint returns not found error for location out of range",""
"passed","Mon May 12 08:51:39 GMT 2025","Mon May 12 08:51:39 GMT 2025","677","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode list can be filtered",""
"passed","Mon May 12 08:51:36 GMT 2025","Mon May 12 08:51:36 GMT 2025","164","","Test Negative Episode Endpoint","","Test Negative Episode Endpoint","","Episode should return error for an invalid param",""
"passed","Mon May 12 08:51:35 GMT 2025","Mon May 12 08:51:35 GMT 2025","214","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character should return response with valid schema",""
"passed","Mon May 12 08:51:39 GMT 2025","Mon May 12 08:51:39 GMT 2025","181","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode should return specific list for multiple param",""
"passed","Mon May 12 08:51:35 GMT 2025","Mon May 12 08:51:35 GMT 2025","151","","Test Positive Character Endpoint","","Test Positive Character Endpoint","","Character should return list",""
"passed","Mon May 12 08:51:39 GMT 2025","Mon May 12 08:51:39 GMT 2025","195","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode should return response with valid schema",""
"passed","Mon May 12 08:51:37 GMT 2025","Mon May 12 08:51:37 GMT 2025","65","","Test Positive Episode Endpoint","","Test Positive Episode Endpoint","","Episode should return list",""
"passed","Mon May 12 08:51:32 GMT 2025","Mon May 12 08:51:32 GMT 2025","603","","Test Negative Character Endpoint","","Test Negative Character Endpoint","","Character endpoint returns not found error for character out of range",""
"passed","Mon May 12 08:51:39 GMT 2025","Mon May 12 08:51:39 GMT 2025","156","","Test Positive Location Endpoint","","Test Positive Location Endpoint","","Episode options returns status 204",""
"passed","Mon May 12 08:51:38 GMT 2025","Mon May 12 08:51:38 GMT 2025","163","","Test Negative Location Endpoint","","Test Negative Location Endpoint","","Location should return error for an invalid param",""
